"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.10.2022","108,18","113,46","113,46","107,18","6,35M","-6,10%"
"28.10.2022","115,21","111,25","115,22","110,42","4,76M","2,81%"
"27.10.2022","112,06","116,05","116,37","111,93","4,49M","-2,82%"
"26.10.2022","115,31","117,00","119,91","114,97","4,26M","-2,65%"
"25.10.2022","118,45","115,37","119,38","112,63","6,28M","1,77%"
"24.10.2022","116,39","118,33","119,07","112,82","4,44M","-2,97%"
"21.10.2022","119,95","116,10","120,32","114,69","4,15M","2,52%"
"20.10.2022","117,00","116,35","120,56","116,00","3,96M","0,11%"
"19.10.2022","116,87","116,24","118,84","115,30","3,41M","-0,91%"
"18.10.2022","117,94","120,03","120,71","115,70","5,55M","1,24%"
"17.10.2022","116,50","112,33","116,76","111,03","5,36M","6,72%"
"14.10.2022","109,16","115,32","116,45","109,02","5,00M","-3,10%"
"13.10.2022","112,65","107,30","113,13","105,30","6,17M","0,27%"
"12.10.2022","112,35","107,47","112,98","106,11","5,52M","5,18%"
"11.10.2022","106,82","110,99","111,00","103,60","5,70M","-3,76%"
"10.10.2022","110,99","108,55","111,62","107,41","3,93M","2,26%"
"07.10.2022","108,54","108,87","109,53","107,10","3,35M","-2,72%"
"06.10.2022","111,58","112,00","114,41","110,20","3,45M","-0,16%"
"05.10.2022","111,76","110,52","112,34","107,84","4,00M","0,86%"
"04.10.2022","110,81","109,14","111,61","108,68","4,80M","5,53%"
"03.10.2022","105,00","105,49","106,35","102,18","6,21M","-0,04%"
"30.09.2022","105,04","104,76","109,08","104,73","4,75M","-1,52%"
"29.09.2022","106,66","109,19","109,47","105,17","4,26M","-3,64%"
"28.09.2022","110,69","106,70","111,13","105,78","4,52M","4,06%"
"27.09.2022","106,37","106,04","108,17","104,14","5,08M","3,04%"
"26.09.2022","103,23","101,78","105,36","101,56","5,28M","1,45%"
"23.09.2022","101,75","102,20","103,18","99,71","6,25M","-1,90%"
"22.09.2022","103,72","112,67","113,72","103,26","8,40M","-9,03%"
"21.09.2022","114,01","116,37","119,33","112,36","6,90M","-2,31%"
"20.09.2022","116,71","117,93","121,66","116,62","5,61M","-1,74%"
"19.09.2022","118,78","116,87","119,78","116,47","4,72M","0,03%"
"16.09.2022","118,75","121,11","122,26","117,59","13,70M","-5,03%"
"15.09.2022","125,04","125,29","129,38","124,28","6,61M","-1,39%"
"14.09.2022","126,80","121,63","127,00","119,51","5,69M","4,33%"
"13.09.2022","121,54","119,70","123,86","119,05","7,13M","-2,60%"
"12.09.2022","124,79","124,25","127,24","123,79","6,99M","1,06%"
"09.09.2022","123,48","120,02","123,71","119,90","5,42M","4,13%"
"08.09.2022","118,58","114,00","119,35","114,00","4,06M","2,16%"
"07.09.2022","116,07","112,85","116,44","112,71","4,62M","2,08%"
"06.09.2022","113,70","114,09","114,52","110,50","4,07M","0,05%"
"02.09.2022","113,64","114,32","116,46","112,33","4,12M","0,21%"
"01.09.2022","113,40","111,10","114,08","108,17","5,66M","0,25%"
"31.08.2022","113,12","113,49","115,58","112,40","6,19M","0,50%"
"30.08.2022","112,56","114,50","116,02","110,44","4,51M","-0,86%"
"29.08.2022","113,54","111,77","115,80","111,53","4,62M","0,64%"
"26.08.2022","112,82","117,06","118,27","112,78","3,78M","-3,60%"
"25.08.2022","117,03","115,89","117,95","115,42","4,02M","2,20%"
"24.08.2022","114,51","110,93","115,57","110,84","3,63M","2,61%"
"23.08.2022","111,60","112,41","114,02","111,41","5,45M","0,19%"
"22.08.2022","111,39","110,36","114,23","109,97","6,06M","-2,94%"
"19.08.2022","114,76","118,18","119,22","114,10","5,29M","-5,37%"
"18.08.2022","121,27","121,50","122,20","120,28","3,37M","-0,49%"
"17.08.2022","121,87","121,63","123,27","120,64","4,34M","-1,86%"
"16.08.2022","124,18","124,23","125,42","122,62","4,37M","-1,48%"
"15.08.2022","126,04","123,55","126,43","123,20","4,88M","1,23%"
"12.08.2022","124,51","122,80","125,00","121,12","5,01M","2,48%"
"11.08.2022","121,50","121,30","127,09","120,96","8,11M","2,33%"
"10.08.2022","118,73","119,33","120,34","116,30","5,53M","3,75%"
"09.08.2022","114,44","115,00","115,67","112,80","4,20M","-1,19%"
"08.08.2022","115,82","118,15","119,64","115,43","5,38M","-1,10%"
"05.08.2022","117,11","115,52","118,87","114,82","6,49M","-1,77%"
"04.08.2022","119,22","114,31","119,24","114,25","9,18M","3,65%"
"03.08.2022","115,02","108,22","115,57","107,65","23,35M","-1,13%"
"02.08.2022","116,34","111,67","117,78","111,10","15,21M","4,62%"
"01.08.2022","111,20","110,00","113,96","107,48","6,02M","0,20%"
"29.07.2022","110,98","108,19","111,16","107,11","4,64M","1,97%"
"28.07.2022","108,84","108,17","110,06","104,68","4,47M","1,38%"
"27.07.2022","107,36","105,79","107,99","104,06","5,36M","5,35%"
"26.07.2022","101,91","102,38","103,63","101,10","4,19M","-2,90%"
"25.07.2022","104,95","103,78","105,26","101,48","3,14M","0,94%"
"22.07.2022","103,97","108,31","110,10","102,93","4,24M","-3,86%"
"21.07.2022","108,14","106,98","108,50","104,41","4,28M","0,38%"
"20.07.2022","107,73","103,11","108,92","102,75","6,83M","5,41%"
"19.07.2022","102,20","99,70","102,71","98,76","5,60M","4,64%"
"18.07.2022","97,67","96,78","101,88","95,98","7,17M","3,18%"
"15.07.2022","94,66","92,55","95,65","90,66","7,50M","3,96%"
"14.07.2022","91,05","94,28","94,58","90,17","8,33M","-4,80%"
"13.07.2022","95,64","93,75","96,59","91,61","6,97M","-0,94%"
"12.07.2022","96,55","95,30","97,69","93,32","4,17M","1,52%"
"11.07.2022","95,10","96,00","97,09","93,27","6,04M","-2,31%"
"08.07.2022","97,35","96,23","98,12","93,24","5,67M","-0,15%"
"07.07.2022","97,50","93,66","97,55","92,16","7,48M","4,97%"
"06.07.2022","92,88","95,29","96,17","91,80","5,70M","-3,19%"
"05.07.2022","95,94","88,88","96,01","86,75","7,65M","4,96%"
"01.07.2022","91,41","89,09","91,46","87,43","6,00M","2,62%"
"30.06.2022","89,08","92,49","92,91","86,71","9,01M","-5,16%"
"29.06.2022","93,93","96,83","97,00","92,05","6,52M","-3,69%"
"28.06.2022","97,53","103,34","105,45","97,09","7,75M","-3,91%"
"27.06.2022","101,50","103,96","104,17","99,33","7,35M","-1,94%"
"24.06.2022","103,51","97,52","104,18","96,33","28,80M","8,14%"
"23.06.2022","95,72","100,00","100,80","93,02","12,34M","-3,83%"
"22.06.2022","99,53","99,00","102,50","98,72","8,99M","-2,68%"
"21.06.2022","102,27","102,69","104,89","101,62","6,53M","2,79%"
"17.06.2022","99,49","93,53","100,61","93,53","11,29M","6,68%"
"16.06.2022","93,26","96,19","97,50","92,09","9,44M","-8,09%"
"15.06.2022","101,47","100,02","103,65","98,92","6,26M","2,63%"
"14.06.2022","98,87","99,54","101,35","97,20","5,92M","-0,06%"
"13.06.2022","98,93","102,85","105,33","98,36","9,59M","-9,16%"
"10.06.2022","108,91","111,80","115,13","108,32","6,94M","-5,88%"
"09.06.2022","115,72","122,31","122,98","115,42","5,32M","-6,50%"
"08.06.2022","123,77","121,43","125,51","121,23","3,78M","0,71%"
"07.06.2022","122,90","119,76","123,91","119,12","3,33M","0,72%"
"06.06.2022","122,02","123,33","124,18","119,92","4,16M","1,83%"
"03.06.2022","119,83","118,07","121,50","117,56","4,58M","-1,18%"
"02.06.2022","121,26","117,13","123,00","116,27","5,18M","3,89%"
"01.06.2022","116,72","121,05","121,07","114,39","6,88M","-3,43%"
"31.05.2022","120,87","120,50","122,30","117,16","9,12M","0,31%"
"27.05.2022","120,50","116,00","120,70","115,77","7,39M","5,42%"
"26.05.2022","114,30","109,74","115,55","108,11","6,88M","3,53%"
"25.05.2022","110,40","105,89","111,94","104,97","6,20M","3,92%"
"24.05.2022","106,24","111,28","111,42","103,74","6,42M","-6,21%"
"23.05.2022","113,28","113,54","115,15","110,93","6,00M","0,65%"
"20.05.2022","112,55","115,46","116,25","108,50","6,96M","-1,42%"
"19.05.2022","114,17","108,18","116,35","107,45","8,93M","5,68%"
"18.05.2022","108,03","116,11","117,04","107,62","9,72M","-8,06%"
"17.05.2022","117,50","119,97","120,18","114,51","6,96M","2,67%"
"16.05.2022","114,44","121,00","121,07","113,25","7,59M","-5,77%"
"13.05.2022","121,45","119,96","123,29","118,82","8,60M","4,75%"
"12.05.2022","115,94","113,66","120,49","111,22","9,26M","-0,18%"
"11.05.2022","116,15","114,53","123,77","112,37","13,66M","0,02%"
"10.05.2022","116,13","122,95","123,46","113,53","13,64M","-2,71%"
"09.05.2022","119,37","131,76","131,88","118,83","14,43M","-12,12%"
"06.05.2022","135,84","142,70","143,11","133,04","9,57M","-5,07%"
"05.05.2022","143,09","152,19","153,88","140,86","11,37M","-8,38%"
"04.05.2022","156,18","152,55","158,74","145,87","20,60M","7,71%"
"03.05.2022","145,00","154,09","154,49","141,58","16,77M","-5,09%"
"02.05.2022","152,78","153,21","155,13","147,21","5,95M","-0,28%"
"29.04.2022","153,21","158,88","163,24","153,00","4,03M","-4,09%"
"28.04.2022","159,74","154,01","161,26","153,66","4,85M","4,93%"
"27.04.2022","152,23","153,82","157,30","150,44","4,83M","-0,53%"
"26.04.2022","153,04","158,40","159,20","152,80","4,08M","-3,38%"
"25.04.2022","158,39","154,33","159,79","152,10","3,87M","1,47%"
"22.04.2022","156,09","157,84","161,67","154,78","3,86M","-1,15%"
"21.04.2022","157,91","168,98","170,93","156,68","4,71M","-4,04%"
"20.04.2022","164,55","172,61","172,61","164,31","4,00M","-3,27%"
"19.04.2022","170,12","165,74","170,82","165,71","2,86M","2,64%"
"18.04.2022","165,74","169,27","170,12","164,35","3,34M","-2,91%"
"14.04.2022","170,70","171,66","174,64","170,30","5,13M","-0,67%"
"13.04.2022","171,85","160,84","172,96","160,65","7,21M","7,33%"
"12.04.2022","160,11","163,70","166,11","157,28","4,11M","-0,09%"
"11.04.2022","160,25","159,84","163,57","157,41","3,88M","-1,42%"
"08.04.2022","162,56","162,52","164,90","159,35","3,45M","-2,02%"
"07.04.2022","165,91","163,19","167,86","161,71","4,15M","0,76%"
"06.04.2022","164,66","167,05","168,77","161,58","4,29M","-3,83%"
"05.04.2022","171,21","177,19","179,09","170,12","4,06M","-3,28%"
"04.04.2022","177,02","175,02","177,02","172,59","3,50M","2,28%"
"01.04.2022","173,07","173,06","177,94","172,23","3,64M","0,76%"
"31.03.2022","171,76","173,54","176,15","171,16","3,23M","-1,08%"
"30.03.2022","173,63","173,13","176,82","172,02","3,71M","-1,08%"
"29.03.2022","175,52","172,11","178,88","171,81","5,45M","4,69%"
"28.03.2022","167,65","167,22","168,72","162,43","3,83M","0,26%"
"25.03.2022","167,22","169,94","170,61","164,13","2,96M","-2,11%"
"24.03.2022","170,83","164,81","171,00","162,67","4,22M","4,06%"
"23.03.2022","164,16","163,64","166,89","162,88","2,81M","-1,37%"
"22.03.2022","166,44","163,61","168,18","162,00","4,10M","2,87%"
"21.03.2022","161,80","164,57","165,95","159,00","4,58M","-3,11%"
"18.03.2022","167,00","156,07","167,18","155,70","8,47M","6,00%"
"17.03.2022","157,55","153,79","157,60","151,05","5,03M","1,16%"
"16.03.2022","155,75","148,15","156,98","146,31","7,11M","8,20%"
"15.03.2022","143,95","140,00","144,73","138,32","5,49M","3,94%"
"14.03.2022","138,50","143,41","144,67","136,04","6,33M","-4,57%"
"11.03.2022","145,14","154,13","155,00","145,00","4,58M","-4,39%"
"10.03.2022","151,80","145,22","152,89","144,41","5,30M","2,35%"
"09.03.2022","148,31","145,43","150,99","145,33","7,02M","4,35%"
"08.03.2022","142,13","131,63","144,47","131,50","9,59M","8,01%"
"07.03.2022","131,59","145,00","145,27","131,52","9,18M","-7,79%"
"04.03.2022","142,70","150,77","151,89","140,46","8,40M","-5,93%"
"03.03.2022","151,69","158,33","159,22","150,99","4,05M","-3,71%"
"02.03.2022","157,53","152,48","158,08","151,89","5,03M","4,32%"
"01.03.2022","151,01","150,53","154,22","149,95","5,17M","-0,32%"
"28.02.2022","151,49","155,02","155,10","148,30","11,08M","-2,32%"
"25.02.2022","155,09","159,26","159,45","152,91","6,17M","-2,00%"
"24.02.2022","158,26","141,30","158,96","141,18","10,35M","5,48%"
"23.02.2022","150,04","165,93","166,65","149,85","9,78M","-9,20%"
"22.02.2022","165,24","172,13","176,38","161,32","8,39M","-5,52%"
"18.02.2022","174,90","180,26","182,66","173,62","8,85M","-4,74%"
"17.02.2022","183,60","184,90","188,98","181,54","7,78M","-1,63%"
"16.02.2022","186,64","178,29","191,73","178,00","22,25M","3,65%"
"15.02.2022","180,07","172,92","180,63","172,75","11,73M","6,14%"
"14.02.2022","169,66","166,63","171,80","165,03","4,85M","1,88%"
"11.02.2022","166,53","175,31","176,74","164,83","6,46M","-3,15%"
"10.02.2022","171,95","165,24","177,06","165,24","8,26M","1,43%"
"09.02.2022","169,53","165,37","170,07","165,08","4,87M","4,48%"
"08.02.2022","162,26","154,00","163,08","153,44","4,31M","2,75%"
"07.02.2022","157,91","156,79","160,88","155,95","4,69M","1,51%"
"04.02.2022","155,56","150,14","157,24","150,00","4,69M","4,00%"
"03.02.2022","149,57","147,97","152,18","146,68","4,58M","-1,44%"
"02.02.2022","151,76","156,31","156,51","150,71","3,68M","-3,30%"
"01.02.2022","156,94","155,35","157,39","152,50","3,80M","1,93%"
"31.01.2022","153,97","144,80","153,97","143,81","5,46M","7,84%"
"28.01.2022","142,77","138,54","143,11","134,37","5,60M","3,15%"
"27.01.2022","138,41","143,48","145,55","137,92","4,49M","-2,62%"
"26.01.2022","142,14","149,29","152,40","140,04","6,99M","-1,67%"
"25.01.2022","144,56","143,90","147,38","140,13","5,70M","-2,26%"
"24.01.2022","147,90","150,00","151,16","135,76","14,63M","-5,63%"
"21.01.2022","156,73","156,82","160,20","152,41","7,24M","-0,80%"
"20.01.2022","158,00","157,81","165,20","157,35","4,94M","2,21%"
"19.01.2022","154,58","157,00","160,23","154,44","5,13M","-0,07%"
