"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.10.2022","65,25","64,97","65,70","64,64","1,26M","-0,73%"
"28.10.2022","65,73","65,08","66,11","64,80","1,88M","0,95%"
"27.10.2022","65,11","66,36","67,36","65,02","1,22M","-1,45%"
"26.10.2022","66,07","66,94","67,69","65,53","1,23M","-1,34%"
"25.10.2022","66,97","65,74","67,06","65,63","976,76K","2,07%"
"24.10.2022","65,61","65,53","66,88","65,40","1,34M","0,18%"
"21.10.2022","65,49","63,85","65,63","63,49","1,63M","2,15%"
"20.10.2022","64,11","64,88","65,92","63,60","1,73M","-1,13%"
"19.10.2022","64,84","65,84","66,94","64,37","2,59M","-1,40%"
"18.10.2022","65,76","68,24","68,79","65,44","3,02M","-2,88%"
"17.10.2022","67,71","67,84","68,25","67,19","2,18M","1,67%"
"14.10.2022","66,60","69,13","69,26","66,40","2,16M","-2,19%"
"13.10.2022","68,09","66,43","69,17","65,83","1,37M","0,55%"
"12.10.2022","67,72","67,69","68,22","67,22","925,51K","-0,06%"
"11.10.2022","67,76","67,31","68,81","66,91","1,22M","0,55%"
"10.10.2022","67,39","69,34","69,52","66,54","1,11M","-2,29%"
"07.10.2022","68,97","67,88","69,40","67,26","1,97M","0,61%"
"06.10.2022","68,55","68,13","69,82","67,99","1,58M","0,38%"
"05.10.2022","68,29","69,01","69,25","68,10","1,86M","-3,11%"
"04.10.2022","70,48","70,46","73,28","66,67","4,84M","2,17%"
"03.10.2022","68,98","67,82","69,63","66,70","1,67M","2,31%"
"30.09.2022","67,42","67,74","68,83","67,27","1,07M","-0,69%"
"29.09.2022","67,89","68,86","68,98","66,92","957,85K","-2,15%"
"28.09.2022","69,38","69,71","69,89","68,53","979,20K","-0,09%"
"27.09.2022","69,44","71,18","71,74","68,96","884,82K","-2,36%"
"26.09.2022","71,12","70,80","72,22","70,68","961,37K","0,18%"
"23.09.2022","70,99","72,48","72,48","70,22","1,03M","-2,81%"
"22.09.2022","73,04","74,94","75,42","72,68","764,64K","-2,82%"
"21.09.2022","75,16","75,05","77,39","75,05","822,37K","0,21%"
"20.09.2022","75,00","76,60","76,72","74,89","1,00M","-3,14%"
"19.09.2022","77,43","74,73","77,71","74,63","803,55K","2,15%"
"16.09.2022","75,80","77,91","77,91","75,35","1,78M","-2,81%"
"15.09.2022","77,99","80,83","81,04","77,86","1,23M","-3,20%"
"14.09.2022","80,57","79,88","80,74","79,21","1,18M","0,85%"
"13.09.2022","79,89","80,86","81,38","79,70","785,74K","-3,13%"
"12.09.2022","82,47","82,00","83,25","81,93","932,90K","1,25%"
"09.09.2022","81,45","80,62","81,96","80,46","706,35K","2,11%"
"08.09.2022","79,77","78,98","79,91","78,10","788,29K","0,63%"
"07.09.2022","79,27","77,56","79,36","77,22","1,15M","2,11%"
"06.09.2022","77,63","78,02","78,55","76,44","1,15M","-1,37%"
"02.09.2022","78,71","80,06","80,90","78,30","562,34K","-0,67%"
"01.09.2022","79,24","78,37","79,43","78,01","816,49K","0,53%"
"31.08.2022","78,82","79,63","79,64","78,60","1,24M","-0,14%"
"30.08.2022","78,93","80,32","80,43","78,78","548,24K","-1,19%"
"29.08.2022","79,88","79,76","80,49","79,03","622,02K","-0,70%"
"26.08.2022","80,44","83,63","83,75","80,44","496,50K","-3,50%"
"25.08.2022","83,36","83,32","84,13","82,72","522,87K","0,34%"
"24.08.2022","83,08","82,50","83,39","82,14","670,76K","0,91%"
"23.08.2022","82,33","82,00","82,71","81,56","822,73K","0,80%"
"22.08.2022","81,68","83,00","83,17","81,57","1,21M","-2,76%"
"19.08.2022","84,00","82,52","84,19","81,88","1,27M","1,69%"
"18.08.2022","82,60","81,49","83,60","80,68","934,32K","1,66%"
"17.08.2022","81,25","81,91","82,18","80,61","732,90K","-1,42%"
"16.08.2022","82,42","80,41","82,46","80,10","733,63K","2,23%"
"15.08.2022","80,62","80,32","80,89","79,87","670,79K","0,05%"
"12.08.2022","80,58","79,21","80,63","78,70","605,76K","2,47%"
"11.08.2022","78,64","79,31","79,96","78,48","790,88K","0,24%"
"10.08.2022","78,45","78,85","79,15","78,09","591,95K","0,63%"
"09.08.2022","77,96","77,95","78,20","77,21","739,57K","-0,18%"
"08.08.2022","78,10","78,31","78,93","77,92","490,46K","0,24%"
"05.08.2022","77,91","78,13","78,63","77,43","759,90K","-1,27%"
"04.08.2022","78,91","78,86","79,10","78,35","601,03K","-0,19%"
"03.08.2022","79,06","78,70","79,35","77,75","1,08M","0,65%"
"02.08.2022","78,55","79,37","79,46","78,53","744,78K","-1,17%"
"01.08.2022","79,48","78,53","80,43","77,82","1,28M","0,97%"
"29.07.2022","78,72","79,10","79,41","78,30","2,92M","-1,17%"
"28.07.2022","79,65","78,76","79,98","78,35","1,14M","1,27%"
"27.07.2022","78,65","77,36","78,69","76,93","1,65M","1,43%"
"26.07.2022","77,54","77,72","78,63","77,04","1,72M","-1,42%"
"25.07.2022","78,66","81,22","81,28","78,14","1,83M","-3,04%"
"22.07.2022","81,13","84,11","84,11","80,56","1,26M","-4,33%"
"21.07.2022","84,80","81,60","85,08","80,48","1,68M","4,27%"
"20.07.2022","81,33","79,89","81,82","79,56","1,84M","1,69%"
"19.07.2022","79,98","79,31","81,81","77,11","2,97M","0,71%"
"18.07.2022","79,42","79,95","80,35","79,09","1,58M","0,27%"
"15.07.2022","79,21","79,85","80,09","77,79","1,51M","-0,23%"
"14.07.2022","79,39","79,95","80,17","78,67","1,12M","-1,83%"
"13.07.2022","80,87","79,24","81,92","79,24","936,43K","-0,36%"
"12.07.2022","81,16","82,48","83,56","80,61","868,05K","-1,64%"
"11.07.2022","82,51","83,20","83,87","82,22","917,24K","-1,53%"
"08.07.2022","83,79","84,29","84,56","83,16","805,80K","-1,00%"
"07.07.2022","84,64","82,28","84,96","82,07","988,18K","2,97%"
"06.07.2022","82,20","82,27","82,79","80,77","829,09K","0,04%"
"05.07.2022","82,17","80,37","82,17","79,40","793,10K","1,01%"
"01.07.2022","81,35","81,50","81,55","79,73","1,20M","-0,65%"
"30.06.2022","81,88","83,00","83,05","81,41","872,18K","-2,40%"
"29.06.2022","83,89","84,02","84,37","83,31","489,19K","-0,36%"
"28.06.2022","84,19","86,05","86,50","84,11","429,24K","-1,70%"
"27.06.2022","85,65","86,00","86,42","84,81","607,00K","-0,10%"
"24.06.2022","85,74","83,60","85,92","83,60","1,21M","3,23%"
"23.06.2022","83,06","82,68","83,39","82,32","649,66K","0,96%"
"22.06.2022","82,27","81,82","83,34","81,56","815,48K","-0,23%"
"21.06.2022","82,46","80,88","82,91","80,15","904,31K","2,93%"
"17.06.2022","80,11","78,99","80,86","78,32","1,74M","1,39%"
"16.06.2022","79,01","80,21","80,77","78,64","1,12M","-3,36%"
"15.06.2022","81,76","80,81","82,88","80,81","998,81K","1,25%"
"14.06.2022","80,75","81,17","81,36","80,17","1,09M","-0,64%"
"13.06.2022","81,27","83,26","83,85","80,75","997,93K","-4,30%"
"10.06.2022","84,92","86,11","86,21","84,90","688,53K","-2,71%"
"09.06.2022","87,29","88,27","89,13","87,28","657,32K","-1,18%"
"08.06.2022","88,33","88,58","89,26","87,88","626,91K","-0,55%"
"07.06.2022","88,82","87,76","88,97","87,00","726,02K","0,28%"
"06.06.2022","88,57","89,31","89,55","88,18","472,21K","-0,25%"
"03.06.2022","88,79","89,48","89,77","87,94","577,69K","-1,20%"
"02.06.2022","89,87","90,09","90,33","88,88","812,93K","0,47%"
"01.06.2022","89,45","89,90","91,53","89,14","1,20M","-0,33%"
"31.05.2022","89,75","87,06","90,34","85,84","2,00M","3,07%"
"27.05.2022","87,08","86,38","87,32","86,19","905,39K","1,27%"
"26.05.2022","85,99","84,04","86,51","84,04","901,97K","2,90%"
"25.05.2022","83,57","81,30","83,85","81,10","879,03K","2,40%"
"24.05.2022","81,61","84,28","84,50","81,51","1,13M","-3,94%"
"23.05.2022","84,96","85,00","85,42","83,39","1,32M","0,31%"
"20.05.2022","84,70","87,10","87,38","80,72","2,96M","-2,37%"
"19.05.2022","86,76","89,95","90,86","86,60","1,13M","-4,38%"
"18.05.2022","90,73","91,82","92,18","90,42","843,90K","-1,98%"
"17.05.2022","92,56","91,44","92,56","90,91","739,46K","1,49%"
"16.05.2022","91,20","91,73","92,30","90,93","711,19K","-0,98%"
"13.05.2022","92,10","90,35","92,38","90,04","897,87K","2,89%"
"12.05.2022","89,51","87,06","89,57","87,06","974,48K","2,19%"
"11.05.2022","87,59","88,59","90,01","87,00","1,30M","-1,16%"
"10.05.2022","88,62","89,68","89,89","87,21","1,41M","0,14%"
"09.05.2022","88,50","90,90","92,13","88,49","1,37M","-3,72%"
"06.05.2022","91,92","91,63","92,68","90,55","1,10M","-0,17%"
"05.05.2022","92,08","92,98","93,37","90,93","1,06M","-2,20%"
"04.05.2022","94,15","92,23","94,22","91,39","1,05M","2,15%"
"03.05.2022","92,17","90,04","92,48","90,03","1,16M","2,79%"
"02.05.2022","89,67","87,88","89,73","87,53","1,07M","1,83%"
"29.04.2022","88,06","89,56","90,24","87,82","1,51M","-2,65%"
"28.04.2022","90,46","91,11","92,52","88,37","1,36M","-0,15%"
"27.04.2022","90,60","88,74","91,49","88,72","1,94M","2,65%"
"26.04.2022","88,26","88,72","89,50","87,97","1,23M","-1,43%"
"25.04.2022","89,54","87,97","89,96","87,06","1,22M","1,83%"
"22.04.2022","87,93","88,49","89,04","87,28","1,32M","-0,59%"
"21.04.2022","88,45","89,27","89,90","88,11","1,37M","-0,27%"
"20.04.2022","88,69","88,48","88,99","87,14","1,48M","0,97%"
"19.04.2022","87,84","83,48","88,67","83,39","2,25M","5,16%"
"18.04.2022","83,53","85,09","85,25","83,05","1,03M","-1,98%"
"14.04.2022","85,22","84,11","85,41","84,11","1,67M","1,69%"
"13.04.2022","83,80","83,35","84,03","83,20","715,75K","1,26%"
"12.04.2022","82,76","84,11","85,10","82,65","769,89K","-1,00%"
"11.04.2022","83,60","84,14","85,51","83,50","924,95K","-0,90%"
"08.04.2022","84,36","84,67","85,40","83,96","793,06K","-0,38%"
"07.04.2022","84,68","85,44","85,57","83,28","1,53M","-0,89%"
"06.04.2022","85,44","84,40","85,99","83,71","1,07M","0,46%"
"05.04.2022","85,05","84,60","85,64","84,36","1,50M","-0,08%"
"04.04.2022","85,12","84,37","85,23","84,09","1,26M","0,79%"
"01.04.2022","84,45","82,34","84,46","81,84","1,58M","3,09%"
"31.03.2022","81,92","84,72","84,93","81,16","2,90M","-3,05%"
"30.03.2022","84,50","85,98","86,55","83,97","1,59M","-2,24%"
"29.03.2022","86,44","85,16","87,76","85,16","2,68M","3,11%"
"28.03.2022","83,83","84,93","84,93","83,18","1,69M","-1,24%"
"25.03.2022","84,88","85,55","85,99","84,55","1,02M","-0,73%"
"24.03.2022","85,50","85,55","86,03","84,39","1,56M","0,45%"
"23.03.2022","85,12","88,82","88,82","85,05","1,02M","-4,54%"
"22.03.2022","89,17","89,59","90,53","88,97","1,73M","-0,26%"
"21.03.2022","89,40","89,40","89,96","88,32","1,29M","0,08%"
"18.03.2022","89,33","89,46","89,82","88,36","2,45M","-0,38%"
"17.03.2022","89,67","89,89","90,20","88,96","1,01M","-0,31%"
"16.03.2022","89,95","88,81","90,53","87,83","1,05M","2,19%"
"15.03.2022","88,02","86,83","88,46","86,72","1,28M","1,36%"
"14.03.2022","86,84","87,06","88,93","86,31","1,61M","0,43%"
"11.03.2022","86,47","89,17","89,26","86,38","747,29K","-2,83%"
"10.03.2022","88,99","89,12","89,43","88,13","1,07M","-1,05%"
"09.03.2022","89,93","90,00","90,99","89,71","1,11M","2,09%"
"08.03.2022","88,09","88,77","91,32","87,39","1,21M","-1,17%"
